well_id,well_name,latitude,longitude,well_type,well_status,well_result,field_name,field_code,field_operator,field_result,block_name,block_area_sqkm
BLF-106-S1,BLF-106-S1,53.36110126,5.8502382,Hydrocarbon development,Plugged back and sidetracked,Technical failure,Blija-Ferwerderadeel,BLF,Nederlandse Aardolie Maatschappij B.V.,Gas,,
BLF-106-S2,BLF-106-S2,53.36110126,5.8502382,Hydrocarbon development,Producing/Injecting,Gas,Blija-Ferwerderadeel,BLF,Nederlandse Aardolie Maatschappij B.V.,Gas,,
K08-05,K08-05,53.50177178,3.57468557,Hydrocarbon exploration,Abandoned,Technical failure,,,,,K08,409.224287729
K08-06,K08-06,53.50054953,3.57410219,Hydrocarbon exploration,Abandoned,Dry,,,,,K08,409.224287729
K08-07,K08-07,53.54527207,3.47268166,Hydrocarbon exploration,Suspended,Gas,K08-FC,K08-FC,Tenaz Energy Netherlands B.V.,Gas,K08,409.224287729
K08-08,K08-08,53.54754903,3.39037393,Hydrocarbon evaluation,Abandoned,Gas,,,,,K08,409.224287729
K08-09,K08-09,53.59649552,3.43326236,Hydrocarbon exploration,Abandoned,Dry,,,,,K08,409.224287729
K08-FA-301,K08-FA-301,53.54141028,3.42220822,Hydrocarbon evaluation,Plugged back and sidetracked,Technical failure,,,,,K08,409.224287729
K08-FA-301-S3,K08-FA-301-S3,53.54141028,3.42220822,Hydrocarbon evaluation,Closed-in,Gas,,,,,K08,409.224287729
K08-FA-101-S1,K08-FA-101-S1,53.49943601,3.3689582,Hydrocarbon development,Suspended,Gas,K08-FA,K08-FA,Tenaz Energy Netherlands B.V.,Gas,K08,409.224287729
K08-FA-101-S2,K08-FA-101-S2,53.49943601,3.3689582,Hydrocarbon development,Plugged back and sidetracked,Gas,K08-FA,K08-FA,Tenaz Energy Netherlands B.V.,Gas,K08,409.224287729
K08-FA-101-S2-VE,K08-FA-101-S2-VE,53.49943601,3.3689582,Hydrocarbon development,Producing/Injecting,Gas,K08-FA,K08-FA,Tenaz Energy Netherlands B.V.,Gas,K08,409.224287729
K08-FA-102,K08-FA-102,53.49943601,3.3689582,Hydrocarbon development,Producing/Injecting,Gas,K08-FA,K08-FA,Tenaz Energy Netherlands B.V.,Gas,K08,409.224287729
K08-FA-103,K08-FA-103,53.49943601,3.3689582,Hydrocarbon development,Plugged back and sidetracked,Gas,K08-FA,K08-FA,Tenaz Energy Netherlands B.V.,Gas,K08,409.224287729
K08-FA-103-S1,K08-FA-103-S1,53.49943601,3.3689582,Hydrocarbon development,Closed-in,Gas,K08-FA,K08-FA,Tenaz Energy Netherlands B.V.,Gas,K08,409.224287729
K08-FA-104,K08-FA-104,53.49943601,3.3689582,Hydrocarbon development,Producing/Injecting,Gas,K08-FA,K08-FA,Tenaz Energy Netherlands B.V.,Gas,K08,409.224287729
K08-FA-201,K08-FA-201,53.51457595,3.41759784,Hydrocarbon evaluation,Plugged back and sidetracked,Gas,K08-FA,K08-FA,Tenaz Energy Netherlands B.V.,Gas,K08,409.224287729
K08-FA-201-S1,K08-FA-201-S1,53.51457595,3.41759784,Hydrocarbon development,Suspended,Technical failure,K08-FA,K08-FA,Tenaz Energy Netherlands B.V.,Gas,K08,409.224287729
K08-FA-201-S3,K08-FA-201-S3,53.51457595,3.41759784,Hydrocarbon development,Producing/Injecting,Gas,K08-FA,K08-FA,Tenaz Energy Netherlands B.V.,Gas,K08,409.224287729
K08-FA-202,K08-FA-202,53.51460375,3.41759784,Hydrocarbon development,Producing/Injecting,Gas,K08-FA,K08-FA,Tenaz Energy Netherlands B.V.,Gas,K08,409.224287729
K08-FA-203,K08-FA-203,53.51457595,3.41765344,Hydrocarbon development,Producing/Injecting,Gas,K08-FA,K08-FA,Tenaz Energy Netherlands B.V.,Gas,K08,409.224287729
K08-FA-204,K08-FA-204,53.51454825,3.41751454,Hydrocarbon development,Producing/Injecting,Gas,K08-FA,K08-FA,Tenaz Energy Netherlands B.V.,Gas,K08,409.224287729
K08-FA-205,K08-FA-205,53.51460375,3.41757004,Hydrocarbon development,Producing/Injecting,Gas,K08-FA,K08-FA,Tenaz Energy Netherlands B.V.,Gas,K08,409.224287729
K09-01,K09-01,53.57041526,3.78427199,Hydrocarbon exploration,Abandoned,Dry,,,,,K09,409.24468442
K09-02,K09-02,53.65922598,3.99249667,Hydrocarbon exploration,Abandoned,Dry,,,,,K09,409.24468442
K09-03,K09-03,53.5273871,3.88049795,Hydrocarbon exploration,Abandoned,Dry,,,,,K09,409.24468442
K09AB-A-01-S2,K09AB-A-01-S2,53.5200548,3.9923899,Hydrocarbon exploration,Suspended,Gas,K09ab-A,K09ab-A,Eni Energy Netherlands B.V.,Gas,K09,409.24468442
K10-01-S1,K10-01-S1,53.40545876,3.19187344,Hydrocarbon exploration,Abandoned,Dry,,,,,K10,374.682555089
LEW-07,LEW-07,53.11312596,5.86895902,Hydrocarbon evaluation,Producing/Injecting,Gas,Leeuwarden-Nijega,LW-NIJ,Vermilion Energy Netherlands B.V.,Gas,,
