well_id,well_name,latitude,longitude,coordinate_system,well_type,status,result,trajectory,operator,drilling_contractor,platform,start_date,end_date,end_depth_m,end_depth_unit,vertical_depth_m,true_vertical_depth_m,deviation_m,max_deviation_m,field_name,field_code,field_operator,field_result,field_status,block_name,block_area_sqkm,in_field,in_block,field_count,block_count
LRM-11,LRM-11,53.34975134,6.81368483,RD,Hydrocarbon development,Plugged,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Flexodrill / U 914 C,1975-05-22,1975-08-14,2950,Rotary Table,2948.17,2940.52,15.76,62.33,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
LSM-01,LSM-01,52.41875685,4.9445345,RD,Hydrocarbon exploration,Abandoned,Dry,Deviated,Nederlandse Aardolie Maatschappij B.V.,KCA Deutag,T-10,1977-01-20,1977-02-26,1703.01,Rotary Table,1492.13,1486.96,-625.46,114.36,,,,,,,,No,No,0,0
LTV-02,LTV-02,51.99454436,6.63710316,RD,Geological exploration,Abandoned,Dry,Vertical,Stichting Anhydriet-onderzoek,Nederlandse Aardolie Maatschappij B.V.,Conrad Counterflush V,1952-07-30,1952-10-29,733.1,Rotary Table,733.1,695.52,,,,,,,,,,No,No,0,0
LUT-01,LUT-01,52.33100869,7.01476281,RD,Hydrocarbon exploration,Abandoned,Dry,Vertical,Erdöl Niederlande,Bataafse Petroleum Maatschappij,Elwerath M27,1942-07-26,1942-09-25,367.7,Rotary Table,367.7,336.7,,,De Lutte,LUT,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
LUT-02,LUT-02,52.3400256,7.0192762,RD,Hydrocarbon exploration,Abandoned,Dry,Vertical,Erdöl Niederlande,Bataafse Petroleum Maatschappij,Conrad Counterflush II,1943-05-23,1943-07-10,413.3,Rotary Table,413.3,383.3,,,,,,,,,,No,No,0,0
LUT-03,LUT-03,52.32204485,7.00636567,RD,Hydrocarbon exploration,Abandoned,Dry,Vertical,Erdöl Niederlande,Bataafse Petroleum Maatschappij,Conrad Counterflush II,1943-07-13,1943-08-18,394.6,Rotary Table,394.6,357.6,,,De Lutte,LUT,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
LUT-04-S5,LUT-04-S5,52.33230523,7.02178024,RD,Hydrocarbon exploration,Abandoned,Dry,Deviated,Bataafse Petroleum Maatschappij,Bataafse Petroleum Maatschappij,ITAG 130,1945-08-28,1946-08-30,1461.5,Rotary Table,1459.89,1428.59,-51.52,-24.82,De Lutte,LUT,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
LUT-05,LUT-05,52.32948106,7.01266497,RD,Hydrocarbon exploration,Suspended,Gas,Vertical,NAM, , ,1955-12-05,1956-06-25,1408.3,Rotary Table,1407.46,1373.55,1.89,-2.22,De Lutte,LUT,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
LVD-01,LVD-01,52.00645812,6.5712459,RD,Hydrocarbon exploration,Abandoned,Dry,Deviated,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,U 914 C,1975-05-21,1975-06-25,2295,Rotary Table,2271.65,2245.46,78.19,-152.64,,,,,,,,No,No,0,0
MAB-13,MAB-13,51.34529865,6.01298978,RD,Coal exploration,Abandoned,Coal,Vertical,ROVD,Mynbouwkundige werken Heerlen, ,1910-04-26,1910-11-23,1131,Rotary Table,1131,1101.23,,,,,,,,,,No,No,0,0
MAN-74,MAN-74,51.20505484,6.07007257,RD,Coal exploration,Abandoned,Coal,Vertical,DSM,"Deilmann, C., Bentheim (D)", ,1954-11-12,1955-06-01,1366.5,Rotary Table,1366.5,1337.76,,,,,,,,,,No,No,0,0
